Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
ODFL,210.97,N/A,40.649326,0.8262108262108262,9.6254225,0.8034188034188035,7.8313284,0.8518518518518519,24.248,0.8461538461538461,19.61579023727775,0.9259259259259259,0.8507122507122509
APH,167.11,N/A,41.882206,0.8319088319088319,13.296468,0.8717948717948718,7.10212,0.8148148148148148,23.201,0.811965811965812,19.429641508357754,0.9173789173789174,0.8495726495726496
DLR,200.15,N/A,256.60257,0.9914529914529915,2.7733898,0.4131054131054131,11.158257,0.9287749287749287,29.615,0.9173789173789174,24.687369979872656,0.9629629629629629,0.8427350427350427
CAT,856.57,N/A,36.905216,0.7777777777777778,20.301235,0.9230769230769231,5.268955,0.7008547008547008,26.641,0.8888888888888888,19.498257234841446,0.9202279202279202,0.8421652421652421
FAST,51.02,N/A,43.60684,0.8547008547008547,14.388043,0.8803418803418803,6.6913533,0.7692307692307693,30.072,0.9202279202279202,15.029681458264966,0.7806267806267806,0.841025641025641
ETN,451.51,N/A,46.07245,0.8803418803418803,8.658408,0.7834757834757835,5.840488,0.7293447293447294,29.529,0.9145299145299145,18.125287415281218,0.8917378917378918,0.8398860398860398
CTAS,199.52,N/A,40.63544,0.8233618233618234,15.532892,0.8888888888888888,7.0877523,0.811965811965812,27.465,0.9002849002849003,14.411790451002872,0.7521367521367521,0.8353276353276353
PWR,685.78,N/A,78.73479,0.9515669515669516,10.692591,0.8290598290598291,3.1333249,0.4843304843304843,35.896,0.9544159544159544,21.49176070278889,0.9458689458689459,0.833048433048433
MA,569.29,N/A,31.348568,0.6353276353276354,89.00719,0.9886039886039886,14.214966,0.9601139601139601,23.05,0.8062678062678063,14.58634336720767,0.7663817663817664,0.8313390313390313
VTR,91.52,N/A,166.4,0.9857549857549858,3.204594,0.49002849002849,7.3134346,0.8205128205128205,25.296,0.8689458689458689,23.47423389709056,0.9544159544159544,0.8239316239316239
LB,78.69,N/A,69.63717,0.9316239316239316,6.2487097,0.6866096866096866,27.078463,1.0,20.906,0.7521367521367521,14.392706157457624,0.7492877492877493,0.8239316239316239
V,364.15,N/A,30.965136,0.6210826210826211,19.297827,0.9116809116809117,15.282442,0.9715099715099715,21.865,0.7777777777777778,15.638035015366954,0.8005698005698005,0.8165242165242166
PH,1055.85,N/A,37.034374,0.7806267806267806,8.643385,0.7806267806267806,6.192302,0.7435897435897436,25.34,0.8717948717948718,17.424396101149306,0.8717948717948718,0.8096866096866098
MCO,484.96,N/A,30.771572,0.6153846153846154,27.764357,0.9458689458689459,10.292383,0.9173789173789174,22.268,0.7863247863247863,14.751788344968537,0.7749287749287749,0.8079772079772078
AME,254.79,N/A,37.30454,0.7891737891737892,5.187304,0.6410256410256411,7.428032,0.8262108262108262,24.085,0.8404558404558404,20.752441947709187,0.9401709401709402,0.8074074074074075
WAT,412.17,N/A,104.083336,0.9629629629629629,2.6458979,0.3903133903133903,8.713776,0.8831908831908832,31.289,0.9344729344729344,17.364328844491542,0.8660968660968661,0.8074074074074075
PAYX,122.02,N/A,24.952965,0.47863247863247865,11.616527,0.8404558404558404,10.937606,0.9202279202279202,29.159,0.9116809116809117,17.584283221011336,0.8774928774928775,0.8056980056980058
MSI,466.51,N/A,36.76202,0.7692307692307693,28.895014,0.9544159544159544,6.309105,0.7549857549857549,22.919,0.7962962962962963,13.50638976210277,0.7321937321937322,0.8014245014245015
ROK,449.37,N/A,41.997196,0.8347578347578347,14.282036,0.8774928774928775,5.572626,0.7122507122507122,25.353,0.8746438746438746,12.040328251887981,0.6666666666666666,0.7931623931623931
MTD,1419.02,N/A,31.945522,0.6524216524216524,2217.2188,1.0,6.8778763,0.7891737891737892,23.923,0.8319088319088319,12.251875330580067,0.6723646723646723,0.7891737891737891
ESS,287.52,N/A,44.85491,0.8689458689458689,3.4713738,0.5156695156695157,10.005969,0.9088319088319088,20.6,0.7321937321937322,18.608876988512115,0.905982905982906,0.7863247863247863
VRTX,505.75,N/A,29.507002,0.5982905982905983,6.328124,0.698005698005698,10.183986,0.9145299145299145,23.981,0.8376068376068376,17.681564080628007,0.8803418803418803,0.7857549857549857
SNPS,421.5,N/A,96.23287,0.9601139601139601,2.6475964,0.39316239316239315,9.2988825,0.886039886039886,52.507,0.9914529914529915,12.423488065289808,0.6780626780626781,0.7817663817663818
TT,480.2,N/A,35.835823,0.7492877492877493,12.364497,0.8575498575498576,4.7571187,0.6638176638176638,25.294,0.8660968660968661,13.864853759354183,0.7350427350427351,0.7743589743589744
